corridor_id,corridor_name
1,Blok M - Kota
10,Tanjung Priok - PGC 2
10A,Rusun Marunda - Tanjung Priok
10B,Rusun Cipinang Besar Selatan - Penas Kalimalang
10D,Kampung Rambutan - Tanjung Priok
10H,Tanjung Priok - Blok M
10K,Tanjung Priok - Senen via Taman BMW
11,Pulo Gebang - Matraman
11B,Rusun Rawa Bebek - Penggilingan
11C,Rusun Pinus Elok - Rusun Pulo Gebang
11D,Pulo Gebang - Pulo Gadung 2 via PIK
11K,Rusun Komarudin - Penggilingan
11M,Rusun Rawa Bebek - Bukit Duri
11N,Rusun Cipinang Muara - Jatinegara
11P,Rusun Pondok Bambu - Walikota Jakarta Timur
11Q,Kampung Melayu - Pulo Gebang via BKT
12,Tanjung Priok - Pluit
12A,Pelabuhan Kaliadem - Kota
12B,Pluit - Senen
12C,Rusun Waduk Pluit - Penjaringan
12F,Rusun Marunda - Rusun Waduk Pluit
12H,Rusun Penjaringan - Penjaringan
12P,St. LRT Pegangsaan Dua - JIS
13,Ciledug - Tendean
13B,Puri Beta - Pancoran Barat
13C,Puri Beta - Dukuh Atas
13D,Puri Beta - Ragunan
14,Jakarta International Stadium - Senen
1A,Pantai Maju - Balai Kota
1B,Stasiun Palmerah - Tosari
1C,Pesanggrahan - Blok M
1E,Pondok Labu - Blok M
1F,Stasiun Palmerah - Bundaran Senayan
1H,Tanah Abang - Stasiun Gondangdia
1K,Cibubur Junction - Blok M
1M,Meruya - Blok M
1N,Tanah Abang - Blok M
1P,Senen - Blok M
1Q,Rempoa - Blok M
1R,Senen - Tanah Abang
1T,Cibubur - Balai Kota
2,Pulo Gadung - Monas
2A,Pulo Gadung - Rawa Buaya via Balai Kota
2B,Harapan Indah - ASMI
2E,Rusun Rawa Bebek - Kodamar
2F,Rusun Cakung Barat - Pulo Gadung
2H,Rusun Jati Rawasari - Senen
2P,Gondangdia - Senen
2Q,Gondangdia - Balai Kota
3,Kalideres - Bundaran HI via Veteran
3A,Rusun Pesakih - Kalideres
3B,Rusun Flamboyan - Cengkareng
3C,Rusun Kapuk Muara - Penjaringan
3E,Puri Kembangan - Sentraland Cengkareng
3F,Kalideres - Gelora Bung Karno
3H,Jelambar - Kota
4,Pulo Gadung 2 - Tosari
4B,Stasiun Manggarai - UI
4C,TU Gas - Bundaran Senayan
4D,Pulo Gadung 2 - Kuningan
4E,Rusun Jatinegara Kaum - Pulo Gadung
4F,Pinang Ranti - Pulo Gadung
5,Matraman Baru - Ancol
5B,Stasiun Tebet - BNN
5C,PGC - Juanda
5D,PGC 1 - Ancol
5F,Kampung Melayu - Tanah Abang
5M,Kampung Melayu - Tanah Abang via Cikini
5N,Kampung Melayu - Ragunan
6,Ragunan - Dukuh Atas 2
6A,Ragunan - MH Thamrin via Kuningan
6B,Ragunan - MH Thamrin via Semanggi
6C,Stasiun Tebet - Karet via Patra Kuningan
6D,Stasiun Tebet - Karet via Underpass
6H,Senen - Lebak Bulus
6M,Stasiun Manggarai - Blok M
6N,Ragunan - Blok M via Kemang
6P,Cibubur - Kuningan
