stop_id,stop_name,lat,lon
B00001P,18 Office Park,-6.299146,106.8321
B00002P,ABA,-6.194149,106.83939
B00003P,Acacia Residence,-6.263358,106.75675
B00004P,ACC Simatupang,-6.304475,106.84858
B00005P,ACE Hardware,-6.387532,106.82738
B00006P,ACE Hardware Kelapa Gading,-6.157009,106.89905
B00008P,Adam Malik 1,-6.236396,106.74776
B00010P,AEON Mall,-6.171923,106.95283
B00011P,Agrowisata Cilangkap,-6.339786,106.9013
B00013P,Ahmad Yani Pisangan Baru,-6.211477,106.87374
B00014P,Airy Eco Binus,-6.195282,106.78881
B00017P,Akper Fatmawati Pondok Labu,-6.313187,106.79931
B00019P,Akses Bawah Flyover Raya Bogor,-6.307687,106.86456
B00020P,Akses Bawah Jembatan Marunda,-6.110376,106.94129
B00022P,Akses Jembatan Ciliwung Balekambang,-6.283554,106.84945
B00025P,Al Barkah,-6.219597,106.84565
B00027P,Al Izhar Pondok Labu 2,-6.311504,106.79104
B00028P,Al Khairiyah School,-6.236593,106.9176
B00029P,Al Mahbubiyah,-6.291866,106.81255
B00030P,Al Mukhlisin,-6.128569,106.792084
B00031P,Al Wathoniyah 1,-6.192036,106.9353
B00032P,Al Wathoniyah 2,-6.192425,106.93568
B00033P,Aljabr Islamic School,-6.308023,106.80371
B00035P,Ampera 1,-6.292069,106.81774
B00036P,Ampera 2,-6.292641,106.81563
B00037P,Ampera 3,-6.291196,106.81706
B00038P,Ampera 4,-6.291345,106.8172
B00039P,Ampera Garden,-6.288794,106.81818
B00040P,Ampera Yos Sudarso,-6.122624,106.89322
B00041P,Ananda Pulo Gadung,-6.185254,106.90716
B00042P,Andara Margasatwa 1,-6.313471,106.80369
B00043P,Andara Margasatwa 2,-6.313577,106.80356
B00045P,Andara Margasatwa 4,-6.312578,106.80356
B00046P,Aneka Apotek,-6.151647,106.87959
B00048P,Aneka PIK Penggilingan,-6.202636,106.92867
B00051P,Anggrek Neli Murni,-6.18968,106.79438
B00052P,Antena III,-6.250453,106.79171
B00053P,Antena II,-6.25033,106.79163
B00054P,Apartemen Gading Nias,-6.154358,106.91615
B00056P,Apartemen Kedoya Elok 2,-6.188259,106.76855
B00057P,Apartemen Metro Sunter,-6.13396,106.87208
B00058P,Apartemen Simprug Teras,-6.232197,106.78874
B00059P,Apotik Emilia Rawamangun,-6.202019,106.88477
B00060P,Apotik Rini Rawamangun,-6.199914,106.88595
B00062P,Aries Utama,-6.197385,106.75145
B00063P,Aries Utama III,-6.197454,106.74602
B00064P,Ariobimo Sentral,-6.227471,106.83328
B00065P,Arion Mall,-6.193631,106.89068
B00066P,Arsip Nasional RI 1,-6.279439,106.81987
B00067P,Arsip Nasional RI 2,-6.279481,106.81995
B00068P,Artha Gading 1,-6.144287,106.8907
B00070P,ASMI 2,-6.172158,106.88894
B00071P,Asrama Brimob Cilincing,-6.104565,106.93689
B00073P,Asrama Marinir Marunda 1,-6.114597,106.95034
B00074P,Asrama Marinir Marunda 2,-6.114579,106.95023
